"objid";"name";"category";"armor_class";"strength";"stealth_disadvantage";"modifier";"modifier_max";"damage";"damage_type";"stat_mod";"properties";"cost";"weight";"description";"source"
"PADDEDARM";"Padded Armor";"ARMORLT";11;;TRUE;"DEX";2;;;;"[NONMETAL]";5.00;8.00;"Padded armor consists of quilted layers of cloth and batting.";"SRD"
"LEATHERARM";"Leather Armor";"ARMORLT";11;;;"DEX";2;;;;"[NONMETAL]";10.00;10.00;"The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.";"SRD"
"STUDLTHERARM";"Studded Leather Armor";"ARMORLT";12;;;"DEX";2;;;;"[NONMETAL]";45.00;13.00;"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.";"SRD"
"HIDEARM";"Hide";"ARMORMD";12;;;"DEX";2;;;;"[NONMETAL]";10.00;12.00;"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.";"SRD"
"CHAINSHRTARM";"Chain Shirt";"ARMORMD";13;;;"DEX";2;;;;;50.00;20.00;"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.";"SRD"
"SCALEMAILARM";"Scale Mail";"ARMORMD";14;;TRUE;"DEX";2;;;;;50.00;45.00;"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.";"SRD"
"BREASTPLTARM";"Breastplate";"ARMORMD";14;;;"DEX";2;;;;;400.00;20.00;"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.";"SRD"
"HALFPLATEARM";"Half Plate";"ARMORMD";15;;TRUE;"DEX";2;;;;;750.00;40.00;"Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.";"SRD"
"RINGMAILARM";"Ring Mail";"ARMORHVY";14;;TRUE;;;;;;;30.00;40.00;"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.";"SRD"
"CHAINMAILARM";"Chain Mail";"ARMORHVY";16;13;TRUE;;;;;;;75.00;55.00;"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.";"SRD"
"SPLINTARM";"Splint";"ARMORHVY";17;15;TRUE;;;;;;;200.00;60.00;"This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.";"SRD"
"PLATEARM";"Plate";"ARMORHVY";18;15;TRUE;;;;;;;1500.00;65.00;"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.";"SRD"
